id,name,localName,aliases,country,countryName,registrationNumber,status,address,foundedAt,legalForm,industry,registeredCapital,isSynthetic,dataClassification,testBatch
"SQJ-SYN-CN-0018","Riverstone Analytics Co., Ltd.","河岳数据科技有限公司","河岳数据科技 | Riverstone Analytics","CN","中国大陆","91340100SQJ000018","ACTIVE","上海市商情测试路 118 号","2007-07-19","有限责任公司","智能制造","CNY 1900000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0019","Silverpeak Analytics Co., Ltd.","银峰数据科技有限公司","银峰数据科技 | Silverpeak Analytics","CN","中国大陆","91340100SQJ000019","DISSOLVED","深圳市商情测试路 119 号","2008-08-20","有限责任公司","新能源技术","CNY 2000000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-CN-0020","Truehaven Analytics Co., Ltd.","真屿数据科技有限公司","真屿数据科技 | Truehaven Analytics","CN","中国大陆","91340100SQJ000020","ACTIVE","杭州市商情测试路 120 号","2009-09-21","有限责任公司","医疗器械","CNY 2100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0021","Asterbridge Components Inc.","Asterbridge Components Inc.","Asterbridge Components | SQJ Test 0021","US","美国","SQJ-US-REG-00021","ACTIVE","121 Test Avenue, Austin, TX","2010-10-22","Corporation","Enterprise Software","USD 2200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0022","Blueharbor Components Inc.","Blueharbor Components Inc.","Blueharbor Components | SQJ Test 0022","US","美国","SQJ-US-REG-00022","ACTIVE","122 Test Avenue, Wilmington, DE","2011-11-23","Corporation","Advanced Manufacturing","USD 2300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0023","Cedarwave Components Inc.","Cedarwave Components Inc.","Cedarwave Components | SQJ Test 0023","US","美国","SQJ-US-REG-00023","ACTIVE","123 Test Avenue, Seattle, WA","2012-12-24","Corporation","Clean Technology","USD 2400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0024","Dawnfield Components Inc.","Dawnfield Components Inc.","Dawnfield Components | SQJ Test 0024","US","美国","SQJ-US-REG-00024","ACTIVE","124 Test Avenue, Austin, TX","2013-01-25","Corporation","Enterprise Software","USD 2500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0025","Evertrail Components Inc.","Evertrail Components Inc.","Evertrail Components | SQJ Test 0025","US","美国","SQJ-US-REG-00025","ACTIVE","125 Test Avenue, Wilmington, DE","2014-02-26","Corporation","Advanced Manufacturing","USD 100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0026","Farsight Components Inc.","Farsight Components Inc.","Farsight Components | SQJ Test 0026","US","美国","SQJ-US-REG-00026","ACTIVE","126 Test Avenue, Seattle, WA","2015-03-27","Corporation","Clean Technology","USD 200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0027","Greenorbit Components Inc.","Greenorbit Components Inc.","Greenorbit Components | SQJ Test 0027","US","美国","SQJ-US-REG-00027","ACTIVE","127 Test Avenue, Austin, TX","2016-04-01","Corporation","Enterprise Software","USD 300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0028","Highcrest Components Inc.","Highcrest Components Inc.","Highcrest Components | SQJ Test 0028","US","美国","SQJ-US-REG-00028","ACTIVE","128 Test Avenue, Wilmington, DE","2017-05-02","Corporation","Advanced Manufacturing","USD 400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0029","Ironleaf Components Inc.","Ironleaf Components Inc.","Ironleaf Components | SQJ Test 0029","US","美国","SQJ-US-REG-00029","ACTIVE","129 Test Avenue, Seattle, WA","2018-06-03","Corporation","Clean Technology","USD 500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0030","Juniper Components Inc.","Juniper Components Inc.","Juniper Components | SQJ Test 0030","US","美国","SQJ-US-REG-00030","ACTIVE","130 Test Avenue, Austin, TX","2019-07-04","Corporation","Enterprise Software","USD 600000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0031","Keystone Components Inc.","Keystone Components Inc.","Keystone Components | SQJ Test 0031","US","美国","SQJ-US-REG-00031","ACTIVE","131 Test Avenue, Wilmington, DE","2020-08-05","Corporation","Advanced Manufacturing","USD 700000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0032","Lumenpath Components Inc.","Lumenpath Components Inc.","Lumenpath Components | SQJ Test 0032","US","美国","SQJ-US-REG-00032","ACTIVE","132 Test Avenue, Seattle, WA","2021-09-06","Corporation","Clean Technology","USD 800000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0033","Moonridge Components Inc.","Moonridge Components Inc.","Moonridge Components | SQJ Test 0033","US","美国","SQJ-US-REG-00033","ACTIVE","133 Test Avenue, Austin, TX","2022-10-07","Corporation","Enterprise Software","USD 900000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0034","Nexora Components Inc.","Nexora Components Inc.","Nexora Components | SQJ Test 0034","US","美国","SQJ-US-REG-00034","ACTIVE","134 Test Avenue, Wilmington, DE","2006-11-08","Corporation","Advanced Manufacturing","USD 1000000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-US-0035","Oakline Components Inc.","Oakline Components Inc.","Oakline Components | SQJ Test 0035","US","美国","SQJ-US-REG-00035","ACTIVE","135 Test Avenue, Seattle, WA","2007-12-09","Corporation","Clean Technology","USD 1100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0036","Pinegate Components Limited","Pinegate Components Limited","Pinegate Components | SQJ Test 0036","HK","中国香港","SQJ-HK-REG-00036","ACTIVE","136 Test Avenue, Wan Chai, Hong Kong","2008-01-10","Private Company Limited by Shares","International Trading","HKD 1200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0037","Quartzbay Components Limited","Quartzbay Components Limited","Quartzbay Components | SQJ Test 0037","HK","中国香港","SQJ-HK-REG-00037","ACTIVE","137 Test Avenue, Kowloon, Hong Kong","2009-02-11","Private Company Limited by Shares","Business Services","HKD 1300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0038","Riverstone Components Limited","Riverstone Components Limited","Riverstone Components | SQJ Test 0038","HK","中国香港","SQJ-HK-REG-00038","DISSOLVED","138 Test Avenue, Wan Chai, Hong Kong","2010-03-12","Private Company Limited by Shares","International Trading","HKD 1400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0039","Silverpeak Components Limited","Silverpeak Components Limited","Silverpeak Components | SQJ Test 0039","HK","中国香港","SQJ-HK-REG-00039","ACTIVE","139 Test Avenue, Kowloon, Hong Kong","2011-04-13","Private Company Limited by Shares","Business Services","HKD 1500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0040","Truehaven Components Limited","Truehaven Components Limited","Truehaven Components | SQJ Test 0040","HK","中国香港","SQJ-HK-REG-00040","ACTIVE","140 Test Avenue, Wan Chai, Hong Kong","2012-05-14","Private Company Limited by Shares","International Trading","HKD 1600000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0041","Asterbridge Dynamics Limited","Asterbridge Dynamics Limited","Asterbridge Dynamics | SQJ Test 0041","HK","中国香港","SQJ-HK-REG-00041","ACTIVE","141 Test Avenue, Kowloon, Hong Kong","2013-06-15","Private Company Limited by Shares","Business Services","HKD 1700000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0042","Blueharbor Dynamics Limited","Blueharbor Dynamics Limited","Blueharbor Dynamics | SQJ Test 0042","HK","中国香港","SQJ-HK-REG-00042","ACTIVE","142 Test Avenue, Wan Chai, Hong Kong","2014-07-16","Private Company Limited by Shares","International Trading","HKD 1800000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0043","Cedarwave Dynamics Limited","Cedarwave Dynamics Limited","Cedarwave Dynamics | SQJ Test 0043","HK","中国香港","SQJ-HK-REG-00043","ACTIVE","143 Test Avenue, Kowloon, Hong Kong","2015-08-17","Private Company Limited by Shares","Business Services","HKD 1900000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0044","Dawnfield Dynamics Limited","Dawnfield Dynamics Limited","Dawnfield Dynamics | SQJ Test 0044","HK","中国香港","SQJ-HK-REG-00044","ACTIVE","144 Test Avenue, Wan Chai, Hong Kong","2016-09-18","Private Company Limited by Shares","International Trading","HKD 2000000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-HK-0045","Evertrail Dynamics Limited","Evertrail Dynamics Limited","Evertrail Dynamics | SQJ Test 0045","HK","中国香港","SQJ-HK-REG-00045","ACTIVE","145 Test Avenue, Kowloon, Hong Kong","2017-10-19","Private Company Limited by Shares","Business Services","HKD 2100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0046","Farsight Dynamics Pte. Ltd.","Farsight Dynamics Pte. Ltd.","Farsight Dynamics | SQJ Test 0046","SG","新加坡","SQJ-SG-REG-00046","ACTIVE","146 Test Avenue, Singapore 068895","2018-11-20","Private Company Limited by Shares","Supply Chain Technology","SGD 2200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0047","Greenorbit Dynamics Pte. Ltd.","Greenorbit Dynamics Pte. Ltd.","Greenorbit Dynamics | SQJ Test 0047","SG","新加坡","SQJ-SG-REG-00047","ACTIVE","147 Test Avenue, Singapore 018989","2019-12-21","Private Company Limited by Shares","Financial Technology","SGD 2300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0048","Highcrest Dynamics Pte. Ltd.","Highcrest Dynamics Pte. Ltd.","Highcrest Dynamics | SQJ Test 0048","SG","新加坡","SQJ-SG-REG-00048","ACTIVE","148 Test Avenue, Singapore 068895","2020-01-22","Private Company Limited by Shares","Supply Chain Technology","SGD 2400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0049","Ironleaf Dynamics Pte. Ltd.","Ironleaf Dynamics Pte. Ltd.","Ironleaf Dynamics | SQJ Test 0049","SG","新加坡","SQJ-SG-REG-00049","ACTIVE","149 Test Avenue, Singapore 018989","2021-02-23","Private Company Limited by Shares","Financial Technology","SGD 2500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0050","Juniper Dynamics Pte. Ltd.","Juniper Dynamics Pte. Ltd.","Juniper Dynamics | SQJ Test 0050","SG","新加坡","SQJ-SG-REG-00050","ACTIVE","150 Test Avenue, Singapore 068895","2022-03-24","Private Company Limited by Shares","Supply Chain Technology","SGD 100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0051","Keystone Dynamics Pte. Ltd.","Keystone Dynamics Pte. Ltd.","Keystone Dynamics | SQJ Test 0051","SG","新加坡","SQJ-SG-REG-00051","ACTIVE","151 Test Avenue, Singapore 018989","2006-04-25","Private Company Limited by Shares","Financial Technology","SGD 200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0052","Lumenpath Dynamics Pte. Ltd.","Lumenpath Dynamics Pte. Ltd.","Lumenpath Dynamics | SQJ Test 0052","SG","新加坡","SQJ-SG-REG-00052","ACTIVE","152 Test Avenue, Singapore 068895","2007-05-26","Private Company Limited by Shares","Supply Chain Technology","SGD 300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0053","Moonridge Dynamics Pte. Ltd.","Moonridge Dynamics Pte. Ltd.","Moonridge Dynamics | SQJ Test 0053","SG","新加坡","SQJ-SG-REG-00053","ACTIVE","153 Test Avenue, Singapore 018989","2008-06-27","Private Company Limited by Shares","Financial Technology","SGD 400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0054","Nexora Dynamics Pte. Ltd.","Nexora Dynamics Pte. Ltd.","Nexora Dynamics | SQJ Test 0054","SG","新加坡","SQJ-SG-REG-00054","ACTIVE","154 Test Avenue, Singapore 068895","2009-07-01","Private Company Limited by Shares","Supply Chain Technology","SGD 500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-SG-0055","Oakline Dynamics Pte. Ltd.","Oakline Dynamics Pte. Ltd.","Oakline Dynamics | SQJ Test 0055","SG","新加坡","SQJ-SG-REG-00055","ACTIVE","155 Test Avenue, Singapore 018989","2010-08-02","Private Company Limited by Shares","Financial Technology","SGD 600000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0056","Pinegate Dynamics Ltd","Pinegate Dynamics Ltd","Pinegate Dynamics | SQJ Test 0056","GB","英国","SQJ-GB-REG-00056","ACTIVE","156 Test Avenue, London EC2Y","2011-09-03","Private Limited Company","Biotechnology Research","GBP 700000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0057","Quartzbay Dynamics Ltd","Quartzbay Dynamics Ltd","Quartzbay Dynamics | SQJ Test 0057","GB","英国","SQJ-GB-REG-00057","DISSOLVED","157 Test Avenue, Cambridge CB2","2012-10-04","Private Limited Company","Enterprise Services","GBP 800000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0058","Riverstone Dynamics Ltd","Riverstone Dynamics Ltd","Riverstone Dynamics | SQJ Test 0058","GB","英国","SQJ-GB-REG-00058","ACTIVE","158 Test Avenue, London EC2Y","2013-11-05","Private Limited Company","Biotechnology Research","GBP 900000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0059","Silverpeak Dynamics Ltd","Silverpeak Dynamics Ltd","Silverpeak Dynamics | SQJ Test 0059","GB","英国","SQJ-GB-REG-00059","ACTIVE","159 Test Avenue, Cambridge CB2","2014-12-06","Private Limited Company","Enterprise Services","GBP 1000000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0060","Truehaven Dynamics Ltd","Truehaven Dynamics Ltd","Truehaven Dynamics | SQJ Test 0060","GB","英国","SQJ-GB-REG-00060","ACTIVE","160 Test Avenue, London EC2Y","2015-01-07","Private Limited Company","Biotechnology Research","GBP 1100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0061","Asterbridge Industries Ltd","Asterbridge Industries Ltd","Asterbridge Industries | SQJ Test 0061","GB","英国","SQJ-GB-REG-00061","ACTIVE","161 Test Avenue, Cambridge CB2","2016-02-08","Private Limited Company","Enterprise Services","GBP 1200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0062","Blueharbor Industries Ltd","Blueharbor Industries Ltd","Blueharbor Industries | SQJ Test 0062","GB","英国","SQJ-GB-REG-00062","ACTIVE","162 Test Avenue, London EC2Y","2017-03-09","Private Limited Company","Biotechnology Research","GBP 1300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0063","Cedarwave Industries Ltd","Cedarwave Industries Ltd","Cedarwave Industries | SQJ Test 0063","GB","英国","SQJ-GB-REG-00063","ACTIVE","163 Test Avenue, Cambridge CB2","2018-04-10","Private Limited Company","Enterprise Services","GBP 1400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0064","Dawnfield Industries Ltd","Dawnfield Industries Ltd","Dawnfield Industries | SQJ Test 0064","GB","英国","SQJ-GB-REG-00064","ACTIVE","164 Test Avenue, London EC2Y","2019-05-11","Private Limited Company","Biotechnology Research","GBP 1500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-GB-0065","Evertrail Industries Ltd","Evertrail Industries Ltd","Evertrail Industries | SQJ Test 0065","GB","英国","SQJ-GB-REG-00065","ACTIVE","165 Test Avenue, Cambridge CB2","2020-06-12","Private Limited Company","Enterprise Services","GBP 1600000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0066","Farsight Industries GmbH","Farsight Industries GmbH","Farsight Industries | SQJ Test 0066","DE","德国","SQJ-DE-REG-00066","ACTIVE","166 Test Avenue, Berlin","2021-07-13","GmbH","Industrial Automation","EUR 1700000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0067","Greenorbit Industries GmbH","Greenorbit Industries GmbH","Greenorbit Industries | SQJ Test 0067","DE","德国","SQJ-DE-REG-00067","ACTIVE","167 Test Avenue, Munich","2022-08-14","GmbH","Medical Technology","EUR 1800000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0068","Highcrest Industries GmbH","Highcrest Industries GmbH","Highcrest Industries | SQJ Test 0068","DE","德国","SQJ-DE-REG-00068","ACTIVE","168 Test Avenue, Berlin","2006-09-15","GmbH","Industrial Automation","EUR 1900000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0069","Ironleaf Industries GmbH","Ironleaf Industries GmbH","Ironleaf Industries | SQJ Test 0069","DE","德国","SQJ-DE-REG-00069","ACTIVE","169 Test Avenue, Munich","2007-10-16","GmbH","Medical Technology","EUR 2000000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0070","Juniper Industries GmbH","Juniper Industries GmbH","Juniper Industries | SQJ Test 0070","DE","德国","SQJ-DE-REG-00070","ACTIVE","170 Test Avenue, Berlin","2008-11-17","GmbH","Industrial Automation","EUR 2100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0071","Keystone Industries GmbH","Keystone Industries GmbH","Keystone Industries | SQJ Test 0071","DE","德国","SQJ-DE-REG-00071","ACTIVE","171 Test Avenue, Munich","2009-12-18","GmbH","Medical Technology","EUR 2200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0072","Lumenpath Industries GmbH","Lumenpath Industries GmbH","Lumenpath Industries | SQJ Test 0072","DE","德国","SQJ-DE-REG-00072","ACTIVE","172 Test Avenue, Berlin","2010-01-19","GmbH","Industrial Automation","EUR 2300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0073","Moonridge Industries GmbH","Moonridge Industries GmbH","Moonridge Industries | SQJ Test 0073","DE","德国","SQJ-DE-REG-00073","ACTIVE","173 Test Avenue, Munich","2011-02-20","GmbH","Medical Technology","EUR 2400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0074","Nexora Industries GmbH","Nexora Industries GmbH","Nexora Industries | SQJ Test 0074","DE","德国","SQJ-DE-REG-00074","ACTIVE","174 Test Avenue, Berlin","2012-03-21","GmbH","Industrial Automation","EUR 2500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-DE-0075","Oakline Industries GmbH","Oakline Industries GmbH","Oakline Industries | SQJ Test 0075","DE","德国","SQJ-DE-REG-00075","ACTIVE","175 Test Avenue, Munich","2013-04-22","GmbH","Medical Technology","EUR 100000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-JP-0076","Pinegate Industries K.K.","Pinegate Industries K.K.","Pinegate Industries | SQJ Test 0076","JP","日本","SQJ-JP-REG-00076","DISSOLVED","176 Test Avenue, Tokyo","2014-05-23","Kabushiki Kaisha","Precision Manufacturing","JPY 200000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-JP-0077","Quartzbay Industries K.K.","Quartzbay Industries K.K.","Quartzbay Industries | SQJ Test 0077","JP","日本","SQJ-JP-REG-00077","ACTIVE","177 Test Avenue, Osaka","2015-06-24","Kabushiki Kaisha","Robotics","JPY 300000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-JP-0078","Riverstone Industries K.K.","Riverstone Industries K.K.","Riverstone Industries | SQJ Test 0078","JP","日本","SQJ-JP-REG-00078","ACTIVE","178 Test Avenue, Tokyo","2016-07-25","Kabushiki Kaisha","Precision Manufacturing","JPY 400000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-JP-0079","Silverpeak Industries K.K.","Silverpeak Industries K.K.","Silverpeak Industries | SQJ Test 0079","JP","日本","SQJ-JP-REG-00079","ACTIVE","179 Test Avenue, Osaka","2017-08-26","Kabushiki Kaisha","Robotics","JPY 500000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
"SQJ-SYN-JP-0080","Truehaven Industries K.K.","Truehaven Industries K.K.","Truehaven Industries | SQJ Test 0080","JP","日本","SQJ-JP-REG-00080","ACTIVE","180 Test Avenue, Tokyo","2018-09-27","Kabushiki Kaisha","Precision Manufacturing","JPY 600000","true","SYNTHETIC_TEST_DATA","SQJ-MOCK-100-V1"
